Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,Conewago Indiana,9143 Route 119 Highway S,Indiana,724-471-3037,42,063,32,32,"Blairsville, Pennsylvania 15717
(40.46568, -79.2009)"
DDAP-Licensed Treatment Facility,John F. Kennedy Behavioral Health Center,112 North Broad Street,Philadelphia,215-568-0860,42,101,51,51,"Philadelphia, Pennsylvania 19102
(39.9549495, -75.1635593)"
DDAP-Licensed Treatment Facility,"Str Addiction Counseling, LLC",1307 Bristol Oxford Valley Road,Bucks,888-755-7227,42,017,9,09,"Levittown, Pennsylvania 19057
(40.162644, -74.875146)"
DDAP-Licensed Treatment Facility,Uniontown Metro Treatment Center,1023 Pittsburgh Road  Suite 101,Fayette,724-912-6800,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.931127, -79.729605)"
DDAP-Licensed Treatment Facility,"People R Us Community Residential Services, Inc.",2101-03 West Tioga Street,Philadelphia,267-639-3135,42,101,51,51,"Philadelphia, Pennsylvania 19140
(40.007668, -75.16342)"
DDAP-Licensed Treatment Facility,Familylinks - Family Treatment Center Frankstown,8930 Frankstown Road,Allegheny,412-924-0300,42,003,2,02,"Pittsburgh, Pennsylvania 15235
(40.460496, -79.8677359)"
DDAP-Licensed Treatment Facility,"Jade Wellness, LLC",101 North Meadows Drive Ste. 234,Allegheny,412-380-0100,42,003,2,02,"Wexford, Pennsylvania 15090
(40.6118104, -80.0557529)"
DDAP-Licensed Treatment Facility,Medmark Treatment Centers Greensburg,1037 Compass Circle,Westmoreland,724-834-1144,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.301458, -79.538929)"
DDAP-Licensed Treatment Facility,"Catholic Social Services of the Diocese of Scranton, Inc.","10 Buist Road, Suite 202",Pike,570-296-1054,42,103,52,52,"Milford, Pennsylvania 18337
(41.3351225, -74.8339401)"
DDAP-Licensed Treatment Facility,"Mazzitti and Sullivan Counseling Services, Inc.",5021 Trindle Road,Cumberland,717-590-7607,42,041,21,21,"Mechanicsburg, Pennsylvania 17050
(40.225542, -76.972755)"
DDAP-Licensed Treatment Facility,"Resources for Human Development, Inc. Morris House",5037 Woodland Avenue,Philadelphia,215-729-3045,42,101,51,51,"Philadelphia, Pennsylvania 19143
(39.939415, -75.21466)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services York Psychiatric,128 North George Street,York,717-848-6116,42,133,67,67,"York, Pennsylvania 17401
(39.9645198, -76.7291666)"
DDAP-Licensed Treatment Facility,The Care Center,"75 East Maiden Street, Suite 100",Washington,724-228-2200,42,125,63,63,"Washington, Pennsylvania 15301
(40.1684499, -80.2429331)"
PacMAT,"Geisinger Clinic, OB/GYN MAT Program, Lewistown",400 Highland Ave,Mifflin ,717-242-7943,42,087,44,44,"Lewistown, Pennsylvania 17044
(40.618025, -77.566912)"
DDAP-Licensed Treatment Facility,North Philadelphia Health System,"801 West Girard Avenue, 10th Floor Tower Building",Philadelphia,215-787-2468,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9711298, -75.1496002)"
DDAP-Licensed Treatment Facility,"A Better Today, Inc. Satellite Stroudsburg","18 South 9Th Street, Suite 104",Monroe,570-424-8280,42,089,45,45,"Stroudsburg, Pennsylvania 18360
(40.9841126, -75.1977542)"
PacMAT,"Penn State University College of Medicine, Sadler Health Clinic",100 North Hanover Street,Cumberland,717-218-6670,42,041,21,21,"Carlisle, Pennsylvania 17013
(40.203287, -77.189235)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.","2100 Wharton Street, Birmingham Towers, Suite 321",Allegheny,412-481-1922,42,003,2,02,"Pittsburgh, Pennsylvania 15203
(40.430031, -79.975392)"
DDAP-Licensed Treatment Facility,"Family Guidance Center, Inc.","1235 Penn Avenue, Suite 205-206",Berks,610-374-4963,42,011,6,06,"Wyomissing, Pennsylvania 19610
(40.329537, -75.9652117)"
DDAP-Licensed Treatment Facility,"ARS of Pennsylvania, LLC",3433 Trindle Road,Cumberland,717-761-4500,42,041,21,21,"Camp Hill, Pennsylvania 17011
(40.236737, -76.938941)"
DDAP-Licensed Treatment Facility,"Silvermist, LLC",130 Critchlow School Road,Butler,724-481-1284,42,019,10,10,"Renfrew, Pennsylvania 16053
(40.774249, -79.988405)"
DDAP-Licensed Treatment Facility,"Wyoming Valley Alcohol and Drug Services, Inc.","49 South Main Street, 4th Floor",Luzerne,570-655-3900,42,079,40,40,"Pittston, Pennsylvania 18640
(41.321224, -75.79147)"
DDAP-Licensed Treatment Facility,St. John Vianney Center,151 Woodbine Road,Chester,610-269-2600,42,029,15,15,"Downingtown, Pennsylvania 19335
(40.012638, -75.685745)"
DDAP-Licensed Treatment Facility,Gateway Allegheny Valley,"1360 Old Freeport Road, 3rd Floor",Allegheny,412-963-7077,42,003,2,02,"Pittsburgh, Pennsylvania 15238
(40.5230452, -79.8632834)"
DDAP-Licensed Treatment Facility,Roxbury Treatment Center,601 Roxbury Road,Franklin,717-532-4217,42,055,28,28,"Shippensburg, Pennsylvania 17257
(40.053352, -77.5363)"
DDAP-Licensed Treatment Facility,"Recovery Revolution, Inc.",109 Broadway,Northampton,610-599-7700,42,095,48,48,"Bangor, Pennsylvania 18013
(40.86584, -75.206566)"
DDAP-Licensed Treatment Facility,The National Academy,900 Agnew Road,Allegheny,412-885-5200,42,003,2,02,"Pittsburgh, Pennsylvania 15227
(40.3999755, -79.966443)"
Center of Excellence,Highlands Hospital,401 East Murphy Avenue,Fayette,724-880-6002,42,051,26,26,"Connellsville, Pennsylvania 15601
(40.023231, -79.586029)"
DDAP-Licensed Treatment Facility,Alliance Medical Services,739 Ensign Avenue,Allegheny,412-488-6360,42,003,2,02,"Pittsburgh, Pennsylvania 15226
(40.406289, -80.004853)"
DDAP-Licensed Treatment Facility,"Just Believe Recovery of Carbondale, LLC",141 Salem Avenue,Lackawanna,561-315-7633,42,069,35,35,"Carbondale, Pennsylvania 18407
(41.57118, -75.496353)"
PacMAT,"UPMC Insurance Division, Esper",25 West 18th Street,Erie,814-459-0817,42,049,25,25,"Erie, Pennsylvania 16501
(42.1178596, -80.078682)"
DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),7501 Penn Avenue,Allegheny,412-243-8753,42,003,2,02,"Pittsburgh, Pennsylvania 15208
(40.4479452, -79.8959545)"
DDAP-Licensed Treatment Facility,George Junior Republic,233 George Junior Road,Mercer,724-458-9330,42,085,43,43,"Grove City, Pennsylvania 16127
(41.1759652, -80.1093761)"
DDAP-Licensed Treatment Facility,Naaman Center,4600 East Harrisburg Pike,Dauphin,717-367-9115,42,043,22,22,"Elizabethtown, Pennsylvania 17022
(40.174866, -76.656023)"
DDAP-Licensed Treatment Facility,Malvern Institute,2405 North Broad Street,Montgomery,610-647-0330,42,091,46,46,"Colmar, Pennsylvania 18915
(40.263384, -75.25781)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.",201 East Main Street,Snyder,570-837-2208,42,109,55,55,"Middleburg, Pennsylvania 17842
(40.788741, -77.043479)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",1894 Plank Road,Blair,888-694-9996,42,013,7,07,"Duncansville, Pennsylvania 16635
(40.44467, -78.41107)"
DDAP-Licensed Treatment Facility,North Philadelphia Health System - Return Program 1&2,"801 West Girard Avenue, 3rd Floor GMC Building",Philadelphia,215-787-2468,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.9711298, -75.1496002)"
DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Renaissance,618 Cumberland Street,Lebanon,717-274-2741,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.339148, -76.421764)"
DDAP-Licensed Treatment Facility,"Milestone Centers, Inc.",712 South Avenue,Allegheny,412-371-7391,42,003,2,02,"Pittsburgh, Pennsylvania 15221
(40.441567, -79.885133)"
DDAP-Licensed Treatment Facility,Naaman Center,"835 Houston Run Drive, Suite 200",Lancaster,888-243-4316,42,071,36,36,"Gap, Pennsylvania 17527
(39.98732, -76.0205)"
DDAP-Licensed Treatment Facility,Focus Counseling Services,206 South Orange Street,Delaware,610-566-4330,42,045,23,23,"Media, Pennsylvania 19063
(39.917201, -75.3936559)"
DDAP-Licensed Treatment Facility,"BGI of Brandywine, Inc",1375 Newark Road,Chester,610-268-3588,42,029,15,15,"Kennett Square, Pennsylvania 19348
(39.849181, -75.768461)"
DDAP-Licensed Treatment Facility,"White Deer Run, Inc.","Box 97, 360 White Deer Run Road",Union,570-538-2567,42,119,60,60,"Allenwood, Pennsylvania 17810
(41.09998, -76.926125)"
DDAP-Licensed Treatment Facility,Malvern Institute (Northeast),4612 Street Road,Bucks,800-291-0600,42,017,9,09,"Trevose, Pennsylvania 19053
(40.1353238, -74.9807381)"
DDAP-Licensed Treatment Facility,"Milestone Rehabilitation, LLC",1701 Grant Avenue,Philadelphia,215-464-3838,42,101,51,51,"Philadelphia, Pennsylvania 19115
(40.086938, -75.039079)"
DDAP-Licensed Treatment Facility,Sanare Today,1084 Lancaster Avenue Suite 304,Delaware,484-678-0525,42,045,23,23,"Rosemont, Pennsylvania 19010
(40.027667, -75.330414)"
DDAP-Licensed Treatment Facility,"Pennsylvania Care, LLC D/B/A Miners Medical",43 South Main Street,Luzerne,570-822-5145,42,079,40,40,"Ashley, Pennsylvania 18706
(41.211235, -75.90158)"
PacMAT,"Allegheny Health Network, North Side Christian Health Center",816 Middle St,Allegheny,412-321-4001,42,003,2,02,"Pittsburgh, Pennsylvania 15212
(40.455188, -79.999385)"
DDAP-Licensed Treatment Facility,"Avenues Recovery Center of Bucks, LLC",1753 Kendarbren Drive Suite 612 & 621-622,Bucks,215-792-7305,42,017,9,09,"Jamison, Pennsylvania 18929
(40.258607, -75.090829)"
DDAP-Licensed Treatment Facility,"Gaudenzia DRC, Inc.",3200 Henry Avenue,Philadelphia,215-991-9700,42,101,51,51,"Philadelphia, Pennsylvania 19129
(40.0093541, -75.1810002)"
DDAP-Licensed Treatment Facility,The Wedge Medical Center PC,2009 South Broad Street,Philadelphia,215-271-2200,42,101,51,51,"Philadelphia, Pennsylvania 19148
(39.9252223, -75.1690299)"
DDAP-Licensed Treatment Facility,Horsham Clinic,722 East Butler Pike,Montgomery,215-643-7800,42,091,46,46,"Ambler, Pennsylvania 19002
(40.1545535, -75.2215651)"
DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",1990 Woodbourne Road,Bucks,215-968-4713,42,017,9,09,"Langhorne, Pennsylvania 19047
(40.214437, -74.9048998)"
DDAP-Licensed Treatment Facility,Deerfield Center for Addictions Treatment,"Chestnut Street, Marienville Medical Center",Forest,888-893-3228,42,053,27,27,"Marienville, Pennsylvania 16239
(41.4691472, -79.1235013)"
DDAP-Licensed Treatment Facility,Hope Springs Behavioral Health,2370 York Road Suite D4,Bucks,215-491-9900,42,017,9,09,"Jamison, Pennsylvania 18929
(40.260693, -75.08663)"
DDAP-Licensed Treatment Facility,"Little Creek Lodge, LLC",359 Easton Turnpike,Wayne,570-689-2644,42,127,64,64,"Lake Ariel, Pennsylvania 18436
(41.387411, -75.396891)"
DDAP-Licensed Treatment Facility,"Berks Counseling Center, Inc.",645 Penn Street,Berks,610-373-4281,42,011,6,06,"Reading, Pennsylvania 19601
(40.335559, -75.924456)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Outreach II",39 East School House Lane,Philadelphia,215-849-7200,42,101,51,51,"Philadelphia, Pennsylvania 19144
(40.0351844, -75.1722176)"
DDAP-Licensed Treatment Facility,"Skills of Central Pennsylvania, Inc.",123 Main Street  Suite A,Cambria,814-713-8289,42,021,11,11,"Portage, Pennsylvania 15946
(40.388685, -78.672241)"
PacMAT,"Geisinger Clinic, Geisinger Medication Assisted Treatment Program",549 Fair Street ,Columbia ,570-387-2055,42,037,19,19,"Bloomsburg, Pennsylvania 17815
(41.008653, -76.452824)"
DDAP-Licensed Treatment Facility,Silver Pines Treatment Center,5 White Owl Drive,Schuylkill,570-773-5388,42,107,54,54,"Mahanoy City, Pennsylvania 17948
(40.813833, -76.12413)"
DDAP-Licensed Treatment Facility,The Care Center D/B/A SPHS Care Center,100 West South  Street,Greene,724-228-2200,42,059,30,30,"Carmichaels, Pennsylvania 15320
(39.89615, -79.97435)"
DDAP-Licensed Treatment Facility,Wpic Narcotic Addiction Treatment Program,6714 Kelly Street,Allegheny,412-864-5300,42,003,2,02,"Pittsburgh, Pennsylvania 15208
(40.457744, -79.907929)"
DDAP-Licensed Treatment Facility,PHMC Pathways To Recovery,2301 East Allegheny Avenue,Philadelphia,215-731-2021,42,101,51,51,"Philadelphia, Pennsylvania 19134
(39.989739, -75.106348)"
DDAP-Licensed Treatment Facility,Safe Harbor Behavioral Health of UPMC Hamot,1330 West 26th Street,Erie,814-451-2225,42,049,25,25,"Erie, Pennsylvania 16508
(42.101958, -80.102414)"
DDAP-Licensed Treatment Facility,"PA Care, LLC D/B/A State College Medical","3091 Enterprise Drive, Suite 150, Building D",Centre,814-235-6988,42,027,14,14,"State College, Pennsylvania 16801
(40.764324, -77.8796902)"
DDAP-Licensed Treatment Facility,Gateway Erie,1928 Wager Road,Erie,814-825-0373,42,049,25,25,"Erie, Pennsylvania 16509
(42.093992, -80.015809)"
DDAP-Licensed Treatment Facility,The Retreat at White Birch,25 Resevoir Street,Lackawanna,570-702-4778,42,069,35,35,"Carbondale, Pennsylvania 18407
(41.59232, -75.48311)"
DDAP-Licensed Treatment Facility,UPMC McKeesport Hospital,1500 Fifth Avenue,Allegheny,412-664-2000,42,003,2,02,"McKeesport, Pennsylvania 15132
(40.351035, -79.849019)"
DDAP-Licensed Treatment Facility,The Guidance Center,110 Campus Drive,McKean,814-362-6535,42,083,42,42,"Bradford, Pennsylvania 16701
(41.954333, -78.660914)"
Center of Excellence,WPIC of UPMCPS,3811 O'Hara Street,Allegheny,412-605-1546,42,003,2,02,"Pittsburgh, Pennsylvania 15213
(40.444196, -79.960269)"
DDAP-Licensed Treatment Facility,Gaudenzia Kindred House,1030 South Concord Road,Chester,610-399-6571,42,029,15,15,"West Chester, Pennsylvania 19382
(39.935205, -75.572845)"
DDAP-Licensed Treatment Facility,Project Transition,5003 Umbria Street,Philadelphia,215-964-1480,42,101,51,51,"Philadelphia, Pennsylvania 19128
(40.0626352, -75.23727)"
DDAP-Licensed Treatment Facility,Pennsylvania Psychiatric Institute,401 Division Street,Dauphin,717-480-8083,42,043,22,22,"Harrisburg, Pennsylvania 17110
(40.291078, -76.899006)"
DDAP-Licensed Treatment Facility,Lehigh County Center for Recovery,1620 Riverside Drive,Lehigh,610-814-7750,42,077,39,39,"Bethlehem, Pennsylvania 18015
(40.61319, -75.4131)"
DDAP-Licensed Treatment Facility,Safe Haven Treatment Services,486 West Market Street,York,717-845-5699,42,133,67,67,"York, Pennsylvania 17401
(39.958646, -76.740061)"
DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,1928 1/2 Murray Avenue,Allegheny,412-421-4311,42,003,2,02,"Pittsburgh, Pennsylvania 15217
(40.431249, -79.923615)"
DDAP-Licensed Treatment Facility,"Perry Human Services, Inc.","8391 Spring Road, PO Box 436",Perry,717-582-8703,42,099,50,50,"New Bloomfield, Pennsylvania 17068
(40.416203, -77.18119)"
Center of Excellence,Habit OPCO Dunmore Comprehensive Treatment Center,118 Monahan Avenue,Lackawanna,570-344-5327,42,069,35,35,"Dunmore, Pennsylvania 18512
(41.431217, -75.615794)"
DDAP-Licensed Treatment Facility,Cece's Place,"100 Superior Avenue, 11th Floor",Beaver,724-591-4925,42,007,4,04,"Aliquippa, Pennsylvania 15001
(40.618934, -80.246626)"
DDAP-Licensed Treatment Facility,"Philadelphia Counseling Center, LLC","25 Bala Avenue, Suite 202",Montgomery,610-298-1999,42,091,46,46,"Bala Cynwyd, Pennsylvania 19004
(40.00204, -75.22913)"
DDAP-Licensed Treatment Facility,Gaudenzia Outpatient,2039 North Second Street,Dauphin,717-233-3424,42,043,22,22,"Harrisburg, Pennsylvania 17102
(40.277762, -76.897691)"
DDAP-Licensed Treatment Facility,Genesis House - Bloomsburg,320 East Second Street,Columbia,570-784-4073,42,037,19,19,"Bloomsburg, Pennsylvania 17815
(41.0046131, -76.4532834)"
Center of Excellence,Alliance Medical Services-Johnstown,1425 Scalp Avenue,Cambria,814-269-4700,42,021,11,11,"Johnstown, Pennsylvania 15904
(40.272553, -78.856557)"
DDAP-Licensed Treatment Facility,Gaudenzia Montgomery County Outpatient,166 West Main Street,Montgomery,610-279-4262,42,091,46,46,"Norristown, Pennsylvania 19401
(40.1167423, -75.3410932)"
DDAP-Licensed Treatment Facility,"Blueprints For Addiction Recovery, Inc.",45 Wyntrebrook Drive,York,484-639-4766,42,133,67,67,"York, Pennsylvania 17403
(39.929456, -76.712013)"
DDAP-Licensed Treatment Facility,White Deer Run York Assessment Center,257 East Market Street,York,717-840-2308,42,133,67,67,"York, Pennsylvania 17403
(39.964323, -76.722266)"
DDAP-Licensed Treatment Facility,"Spanish American Civic Association for Equality, Inc",134 Locust Street,Lancaster,717-509-2030,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.036404, -76.299395)"
DDAP-Licensed Treatment Facility,Deerfield Center For Addictions Treatment,514 West Third Avenue,Warren,814-723-5545,42,123,62,62,"Warren, Pennsylvania 16365
(41.845954, -79.153124)"
PacMAT,"UPMC Insurance Division, Pyramid Healthcare Erie Outpatient Treatment Center",2409 State Street C,Erie,814-456-2203,42,049,25,25,"Erie, Pennsylvania 16503
(42.1135478, -80.07414)"
DDAP-Licensed Treatment Facility,Another Chance Counseling,"756 Cumberland Street, Suite #3",Lebanon,717-507-1386,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.3393267, -76.4239649)"
DDAP-Licensed Treatment Facility,Psychological Services Clinic Satellite,405 Bloom Street,Montour,570-275-7770,42,093,47,47,"Danville, Pennsylvania 17821
(40.964462, -76.6096)"
DDAP-Licensed Treatment Facility,The Consortium University City/Family Preservation,451 University Avenue Rear,Philadelphia,215-596-8000,42,101,51,51,"Philadelphia, Pennsylvania 19104
(39.949135, -75.199486)"
DDAP-Licensed Treatment Facility,Race to Recovery Now Outpatient Facility Glen Mills,43 Doughtery Blvd,Delaware,610-247-5961,42,045,23,23,"Glen Mills, Pennsylvania 19342
(39.896357, -75.486827)"
DDAP-Licensed Treatment Facility,"A Better Today, Inc.",126 Warren Street,Wyoming,570-996-9600,42,131,66,66,"Tunkhannock, Pennsylvania 18657
(41.5394997, -75.9477739)"
DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Girard Satellite Office,259 East Main Street,Erie,814-459-6304,42,049,25,25,"Girard, Pennsylvania 16417
(42.002693, -80.312599)"
DDAP-Licensed Treatment Facility,"Genesis House, Inc.",800 West Fourth Street Suite G-01,Lycoming,570-322-0520,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.2411897, -77.0010786)"
DDAP-Licensed Treatment Facility,First Hospital,"562 Wyoming Avenue, Second Floor",Luzerne,570-552-3900,42,079,40,40,"Kingston, Pennsylvania 18704
(41.2617481, -75.8968635)"
DDAP-Licensed Treatment Facility,"Abstinent Living at The Turning Point at Washington, Inc.",199 North Main Street,Washington,724-228-2203,42,125,63,63,"Washington, Pennsylvania 15301
(40.17392, -80.2462703)"
DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center Inc. Moffett House,"1215 Seventh Avenue, Suite 313 (Rear)",Beaver,724-846-6145,42,007,4,04,"Beaver Falls, Pennsylvania 15010
(40.7520097, -80.3192295)"
DDAP-Licensed Treatment Facility,Livengrin Counseling Center,"550 Pinetown Road, Suite 150",Montgomery,215-540-8301,42,091,46,46,"Fort Washington, Pennsylvania 19034
(40.1408595, -75.1949856)"
PacMAT,"Penn State University College of Medicine, Marc Turgeon, DO",100 North Cameron Street,Dauphin,717-872-0568,42,043,22,22,"Harrisburg, Pennsylvania 17101-2424
(40.266403, -76.875789)"
DDAP-Licensed Treatment Facility,Community Service Foundation Inc.,1460 North Charlotte Street,Montgomery,610-718-9500,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.2689499, -75.622092)"
DDAP-Licensed Treatment Facility,Moore Counseling Services,1222 Pennsylvania Avenue,Blair,814-684-5588,42,013,7,07,"Tyrone, Pennsylvania 16686
(40.67284, -78.23751)"
DDAP-Licensed Treatment Facility,Harbor Counseling Center  - Blossburg Satellite Office,206 Main Street Suite 5,Tioga,570- 638-3138,42,117,59,59,"Blossburg, Pennsylvania 16912
(41.678747, -77.064401)"
DDAP-Licensed Treatment Facility,"Impact Counseling Services, LLC",815 Rowena Drive,Cambria,814-327-5868,42,021,11,11,"Ebensburg, Pennsylvania 15931
(40.484829, -78.724989)"
DDAP-Licensed Treatment Facility,Parkside Recovery,"5429 Germantown Avenue, 2nd Floor",Philadelphia,215-754-0240,42,101,51,51,"Philadelphia, Pennsylvania 19144
(40.0339363, -75.1713693)"
DDAP-Licensed Treatment Facility,Resources for Human Development,"100 Ross Road, Suite 204",Montgomery,484-681-4040,42,091,46,46,"King Of Prussia, Pennsylvania 19406
(40.09993, -75.367035)"
DDAP-Licensed Treatment Facility,Arc Manor,200 Oak Avenue,Armstrong,724-548-7607,42,005,3,03,"Kittanning, Pennsylvania 16201
(40.819865, -79.5180929)"
DDAP-Licensed Treatment Facility,Wellness Counseling Associates,1300 Millersville Pike,Lancaster,717-397-2727,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.045124, -76.30499)"
DDAP-Licensed Treatment Facility,Outside In Pathway To Recovery Outpatient Services,580 Feightner Road,Westmoreland,724-837-1518,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.302822, -79.5191679)"
DDAP-Licensed Treatment Facility,"Livengrin Foundation, Inc.","1500 Walnut Street, Suite 507",Philadelphia,215-546-2626,42,101,51,51,"Philadelphia, Pennsylvania 19102
(39.9494166, -75.1661366)"
DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. Confront",1130 Walnut Street,Lehigh,610-433-0148,42,077,39,39,"Allentown, Pennsylvania 18102
(40.598293, -75.480156)"
DDAP-Licensed Treatment Facility,Ridgeview Adolescent Behavioral Health Center at Pittsburgh,4447 Gibsonia Road,Allegheny,724-443-3220,42,003,2,02,"Gibsonia, Pennsylvania 15044
(40.613877, -79.901387)"
DDAP-Licensed Treatment Facility,Coatesville Treatment Center,1825 East Lincoln Highway,Chester,610-466-9250,42,029,15,15,"Coatesville, Pennsylvania 19320
(39.989286, -75.789659)"
DDAP-Licensed Treatment Facility,Mirmont Outpatient Services,825 Springdale Drive,Chester,484-565-1130,42,029,15,15,"Exton, Pennsylvania 19341
(40.021334, -75.651159)"
DDAP-Licensed Treatment Facility,"Spring-Ford Counseling Services, Inc.",201 North Fourth Avenue Suite 101,Montgomery,610-948-0393,42,091,46,46,"Royersford, Pennsylvania 19468
(40.1869, -75.54135)"
DDAP-Licensed Treatment Facility,Wes Corporation,1315 Windrim Avenue,Philadelphia,215-456-2696,42,101,51,51,"Philadelphia, Pennsylvania 19141
(40.030767, -75.144872)"
DDAP-Licensed Treatment Facility,Chances,"1200 Callowhill Street, Suite 102",Philadelphia,215-923-0218,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9590346, -75.1587131)"
Center of Excellence,"Penn Foundation, Inc.",807 Lawn Avenue,Bucks,215-257-9999,42,017,9,09,"Sellersville, Pennsylvania 18960
(40.364551, -75.325422)"
DDAP-Licensed Treatment Facility,"Center For Behavioral Health - PA, Inc.","301 Smith Drive, Suite 3",Butler,724-779-2010,42,019,10,10,"Cranberry Township, Pennsylvania 16066
(40.697533, -80.101511)"
DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.",9457 Lincoln Highway Suite 105,Bedford,814-623-7658,42,009,5,05,"Bedford, Pennsylvania 15522
(40.018597, -78.4644)"
DDAP-Licensed Treatment Facility,Crozer Chester Medical Center,"2600 West Ninth Street, 4Th Floor",Delaware,610-497-7282,42,045,23,23,"Chester, Pennsylvania 19013
(39.849557, -75.3557457)"
DDAP-Licensed Treatment Facility,"HSA Counseling, Inc. D/B/A Gearty & Skiles Counseling",107 East Locust Street,Lancaster,717-733-8898,42,071,36,36,"Ephrata, Pennsylvania 17522
(40.178028, -76.1742933)"
DDAP-Licensed Treatment Facility,GPASS- Asian Outpatient Counseling Serv.,4943 North 5Th Street,Philadelphia,215-456-1662,42,101,51,51,"Philadelphia, Pennsylvania 19120
(40.0269286, -75.1323185)"
DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. Keenan House","18-22 South Sixth Street, Po Box 685",Lehigh,610-432-7690,42,077,39,39,"Allentown, Pennsylvania 18101
(40.602057, -75.46972)"
Center of Excellence,"Pyramid Healthcare, Inc.",1896 Plank Road,Blair,1-888-694-9996,42,013,7,07,"Duncansville, Pennsylvania 16635
(40.445998, -78.409769)"
DDAP-Licensed Treatment Facility,"Polaris Renewal Services, Inc",3591 Pittsburgh Road,Fayette,724-736-8390,42,051,26,26,"Perryopolis, Pennsylvania 15473
(40.09698, -79.763748)"
DDAP-Licensed Treatment Facility,"Uhs Of Fairmount, Inc.",561 Fairthorne Avenue,Philadelphia,215-487-4000,42,101,51,51,"Philadelphia, Pennsylvania 19128
(40.0430599, -75.220848)"
DDAP-Licensed Treatment Facility,The Lighthouse for Men,1820 Washington Road,Washington,724-743-5747,42,125,63,63,"Washington, Pennsylvania 15301
(40.2285899, -80.18179)"
DDAP-Licensed Treatment Facility,Lehigh Valley Drug And Alcohol Intake Unit,100 North 3rd Street Suite 401,Northampton,610-923-0394,42,095,48,48,"Easton, Pennsylvania 18042
(40.6907, -75.20907)"
DDAP-Licensed Treatment Facility,John F. Kennedy Behavioral Health Center,907 North Broad Street,Philadelphia,215-235-5520,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.970427, -75.159179)"
DDAP-Licensed Treatment Facility,"Mercy House of Meadville, Inc.","13180 Leslie Road, Suite 2",Crawford,814-337-6180,42,039,20,20,"Meadville, Pennsylvania 16335
(41.6560004, -80.1187905)"
DDAP-Licensed Treatment Facility,"Colonial House, Inc.",1300 Woodberry Road,York,717-792-9702,42,133,67,67,"York, Pennsylvania 17408
(39.934632, -76.802537)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.","One South Second Street, 4th Floor",Schuylkill,570-622-6485,42,107,54,54,"Pottsville, Pennsylvania 17901
(40.6856456, -76.195499)"
Center of Excellence,Lancaster General Hospital,555 N. Duke Street,Lancaster,717-544-1427 ,42,071,36,36,"Lancaster, Pennsylvania 17604
(40.047298, -76.304023)"
DDAP-Licensed Treatment Facility,The Ranch Pennsylvania,1166 Hilts Road,York,717-478-1616,42,133,67,67,"Wrightsville, Pennsylvania 17368
(40.004578, -76.519585)"
DDAP-Licensed Treatment Facility,"Carbon Monroe Pike Drug and Alcohol Commission, Inc.","428 South Seventh Street, Suite 1",Carbon,610-377-5177,42,025,13,13,"Lehighton, Pennsylvania 18235
(40.826862, -75.718363)"
DDAP-Licensed Treatment Facility,"Liberation Way, LLC","225 East City Avenue, Suite 15",Montgomery,856-669-4988,42,091,46,46,"Bala Cynwyd, Pennsylvania 19004
(40.004121, -75.220371)"
DDAP-Licensed Treatment Facility,"Axiom Family Counseling Services, Inc.",630 Cherry Tree Lane,Fayette,724-439-0308,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.901067, -79.755425)"
DDAP-Licensed Treatment Facility,"Genesis House, Inc.",2 East Main Street,Dauphin,717-232-6981,42,043,22,22,"Elizabethville, Pennsylvania 17023
(40.548864, -76.811497)"
DDAP-Licensed Treatment Facility,Dolminis,2 Sellers Drive,Blair,814-204-0059,42,013,7,07,"Altoona, Pennsylvania 16601
(40.4608961, -78.4078752)"
