,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
733,DDAP-Licensed Treatment Facility,Larocco Counseling,1218C Pleasant Valley Blvd,Blair,814-946-5179,42,013,7,07,"{'latitude': '40.506723', 'longitude': '-78.386763', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16601""}'}",52,101,29,17,46
734,DDAP-Licensed Treatment Facility,Penn Presbyterian Medical Center,51 North 39th Street,Philadelphia,215-662-8000,42,101,51,51,"{'latitude': '39.9584267', 'longitude': '-75.1994479', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19104""}'}",1069,365,188,43,13
735,DDAP-Licensed Treatment Facility,Greene Treatment Center,2695 East Roy Furman Highway,Greene,724-966-5000,42,059,30,30,"{'latitude': '39.857098', 'longitude': '-79.937817', 'human_address': '{""address"": """", ""city"": ""Carmichaels"", ""state"": ""Pennsylvania"", ""zip"": ""15320""}'}",147,470,1,12,37
736,DDAP-Licensed Treatment Facility,Conewago Snyder,18336 Route 522,Snyder,570-658-7383,42,109,55,55,"{'latitude': '40.7536912', 'longitude': '-77.1694299', 'human_address': '{""address"": """", ""city"": ""Beavertown"", ""state"": ""Pennsylvania"", ""zip"": ""17813""}'}",2110,254,72,22,65
737,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Fountain Springs",95 Broad Street,Schuylkill,570-875-4700,42,107,54,54,"{'latitude': '40.7731018', 'longitude': '-76.3375936', 'human_address': '{""address"": """", ""city"": ""Ashland"", ""state"": ""Pennsylvania"", ""zip"": ""17921""}'}",1128,316,53,27,64
738,DDAP-Licensed Treatment Facility,"Familylinks, Inc.",250 Shady Avenue,Allegheny,412-924-0148,42,003,2,02,"{'latitude': '40.4580345', 'longitude': '-79.9226105', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15206""}'}",2158,324,104,11,40
739,DDAP-Licensed Treatment Facility,"Adaptive Behavioral Services, Inc.",6031 Broad Street,Allegheny,412-661-7790,42,003,2,02,"{'latitude': '40.4623124', 'longitude': '-79.9230164', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15206""}'}",2158,324,104,9,40
740,DDAP-Licensed Treatment Facility,Turtle Creek Valley MH/MR Alternatives,70 South 22nd Street,Allegheny,412-381-2100,42,003,2,02,"{'latitude': '40.42923', 'longitude': '-79.97417', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15203""}'}",2158,324,103,11,40
741,DDAP-Licensed Treatment Facility,"Center For Behavioral Health, Inc.",1914 Mercer Avenue,Mercer,724-981-9815,42,085,43,43,"{'latitude': '41.2144648', 'longitude': '-80.4784548', 'human_address': '{""address"": """", ""city"": ""Farrell"", ""state"": ""Pennsylvania"", ""zip"": ""16121""}'}",1233,55,26,3,54
742,DDAP-Licensed Treatment Facility,Roxbury,401 East Louther Street,Cumberland,717-532-4217,42,041,21,21,"{'latitude': '40.2024491', 'longitude': '-77.1794698', 'human_address': '{""address"": """", ""city"": ""Carlisle"", ""state"": ""Pennsylvania"", ""zip"": ""17013""}'}",1678,146,40,20,17
743,DDAP-Licensed Treatment Facility,New Directions Treatment Services,4 Park Plaza,Berks,610-478-0646,42,011,6,06,"{'latitude': '40.345644', 'longitude': '-75.959665', 'human_address': '{""address"": """", ""city"": ""Wyomissing"", ""state"": ""Pennsylvania"", ""zip"": ""19610""}'}",1341,492,118,31,45
744,DDAP-Licensed Treatment Facility,"Progressive Medical Specialists, Inc.",2900 Smallman Street,Allegheny,412-391-6384,42,003,2,02,"{'latitude': '40.458423', 'longitude': '-79.97465', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15201""}'}",2158,324,163,6,40
745,DDAP-Licensed Treatment Facility,Stairways Behavioral Health Outpatient Drug And Alcohol Prog,2911 State Street,Erie,814-464-8438,42,049,25,25,"{'latitude': '42.109318', 'longitude': '-80.07176', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16508""}'}",2182,61,51,4,30
746,DDAP-Licensed Treatment Facility,"Behavioral Wellness & Recovery of Pennsylvania, LLC","1301 Wright's Lane East, Suite 103",Chester,484-983-9859,42,029,15,15,"{'latitude': '39.948242', 'longitude': '-75.611648', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19380""}'}",2069,480,147,32,6
747,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.","31 South 10th Avenue, Suite 6",Chester,610-383-9600,42,029,15,15,"{'latitude': '39.985449', 'longitude': '-75.80517', 'human_address': '{""address"": """", ""city"": ""Coatesville"", ""state"": ""Pennsylvania"", ""zip"": ""19320""}'}",944,142,96,32,6
748,DDAP-Licensed Treatment Facility,Clear Concepts Counseling,"287 East Industrial Drive, Suite 102",Juniata,717-436-9634,42,067,34,34,"{'latitude': '40.5803439', 'longitude': '-77.3678188', 'human_address': '{""address"": """", ""city"": ""Mifflintown"", ""state"": ""Pennsylvania"", ""zip"": ""17059""}'}",50,201,36,18,21
749,DDAP-Licensed Treatment Facility,Livengrin Counseling Center,31 South Commerce Way,Lehigh,610-264-5521,42,077,39,39,"{'latitude': '40.644109', 'longitude': '-75.439467', 'human_address': '{""address"": """", ""city"": ""Bethlehem"", ""state"": ""Pennsylvania"", ""zip"": ""18017""}'}",549,18,142,10,26
750,DDAP-Licensed Treatment Facility,"Transformation Counseling Center, Inc.",314 Thomson Park Drive Suite 314,Butler,724-591-8913,42,019,10,10,"{'latitude': '40.6981748', 'longitude': '-80.1136996', 'human_address': '{""address"": """", ""city"": ""Cranberry Township"", ""state"": ""Pennsylvania"", ""zip"": ""16066""}'}",254,426,9,5,1
751,DDAP-Licensed Treatment Facility,"Center City Recovery, LLC",1880 JFK Boulevard Suite 1110,Philadelphia,954-594-2512,42,101,51,51,"{'latitude': '39.954096', 'longitude': '-75.171007', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19103""}'}",1069,365,190,47,13
752,DDAP-Licensed Treatment Facility,T. W.  Ponessa and Associates Counseling Services Inc.,410 North Prince Street,Lancaster,717-560-7917,42,071,36,36,"{'latitude': '40.0443817', 'longitude': '-76.3092736', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17603""}'}",1993,89,143,25,23
753,DDAP-Licensed Treatment Facility,The Wedge Medical Center PC,4243 Frankford Avenue,Philadelphia,215-744-3600,42,101,51,51,"{'latitude': '40.0096665', 'longitude': '-75.0891528', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19124""}'}",1069,365,186,48,13
754,DDAP-Licensed Treatment Facility,Psychological Services Clinic - New Hope,140 South Market Street,Columbia,570-389-1249,42,037,19,19,"{'latitude': '41.003193', 'longitude': '-76.45853', 'human_address': '{""address"": """", ""city"": ""Bloomsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17815""}'}",2351,133,90,22,10
755,DDAP-Licensed Treatment Facility,Little Creek Outpatient Services Llc,518 Easton Turnpike,Wayne,570-689-2644,42,127,64,64,"{'latitude': '41.403697', 'longitude': '-75.398515', 'human_address': '{""address"": """", ""city"": ""Lake Ariel"", ""state"": ""Pennsylvania"", ""zip"": ""18436""}'}",30,462,109,29,53
756,DDAP-Licensed Treatment Facility,Girard Medical Center,8th Street and Girard Avenue,Philadelphia,215-787-2000,42,101,51,51,"{'latitude': '39.9705536', 'longitude': '-75.1499491', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
757,DDAP-Licensed Treatment Facility,Rehab After Work,175 King Of Prussia Road,Delaware,610-889-9939,42,045,23,23,"{'latitude': '40.042344', 'longitude': '-75.354713', 'human_address': '{""address"": """", ""city"": ""Radnor"", ""state"": ""Pennsylvania"", ""zip"": ""19087""}'}",2303,378,175,41,28
758,Center of Excellence,"Total Wellness Center, LLC. Clean Slate",329 Pine Street,Lycoming,413-265-2607,42,081,41,41,"{'latitude': '41.241026', 'longitude': '-77.00357', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1903,441,76,21,15
759,DDAP-Licensed Treatment Facility,"Forensic Counseling Associates, LLC",639 Main Street,Luzerne,570-460-4379,42,079,40,40,"{'latitude': '41.33785', 'longitude': '-75.742855', 'human_address': '{""address"": """", ""city"": ""Avoca"", ""state"": ""Pennsylvania"", ""zip"": ""18641""}'}",135,323,102,34,14
760,PacMAT,"Allegheny Health Network, AGH Internal Medicine",1307 Federal St. Suite B300,Allegheny,412-359-3751,42,003,2,02,"{'latitude': '40.457212', 'longitude': '-80.007814', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15212""}'}",2158,324,164,6,40
761,DDAP-Licensed Treatment Facility,North Philadelphia Health System IOP - Cap,"801 West Girard Avenue, 3rd Floor Tower Building",Philadelphia,215-787-2030,42,101,51,51,"{'latitude': '39.9711298', 'longitude': '-75.1496002', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
762,DDAP-Licensed Treatment Facility,"Independent Family Services, Inc.",636 Scalp Avenue,Cambria,814-262-0007,42,021,11,11,"{'latitude': '40.2931785', 'longitude': '-78.8708513', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15904""}'}",895,404,21,16,2
763,DDAP-Licensed Treatment Facility,Mountain Laurel Recovery Center,355 Church Street,Tioga,814-367-2003,42,117,59,59,"{'latitude': '41.913276', 'longitude': '-77.537566', 'human_address': '{""address"": """", ""city"": ""Westfield"", ""state"": ""Pennsylvania"", ""zip"": ""16950""}'}",2340,343,77,14,48
764,DDAP-Licensed Treatment Facility,"New Insights II, Inc.",716 State Street,Cumberland,717-303-2035,42,041,21,21,"{'latitude': '40.24339', 'longitude': '-76.89965', 'human_address': '{""address"": """", ""city"": ""Lemoyne"", ""state"": ""Pennsylvania"", ""zip"": ""17043""}'}",1707,486,39,20,17
765,DDAP-Licensed Treatment Facility,"A Better Today, Inc.",212 Main Street,Bradford,570-265-6700,42,015,8,08,"{'latitude': '41.7682381', 'longitude': '-76.4431484', 'human_address': '{""address"": """", ""city"": ""Towanda"", ""state"": ""Pennsylvania"", ""zip"": ""18848""}'}",18,349,88,21,34
766,DDAP-Licensed Treatment Facility,Gaudenzia Common Ground,3740 Chambers Hill Road,Dauphin,717-238-5553,42,043,22,22,"{'latitude': '40.290201', 'longitude': '-76.905028', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17111""}'}",1625,182,42,23,18
767,DDAP-Licensed Treatment Facility,"Renew Family Services, LLC","501 Old York Road, Unit 4",Montgomery,267-972-7494,42,091,46,46,"{'latitude': '40.099438', 'longitude': '-75.126712', 'human_address': '{""address"": """", ""city"": ""Jenkintown"", ""state"": ""Pennsylvania"", ""zip"": ""19046""}'}",2453,215,203,45,57
768,DDAP-Licensed Treatment Facility,"Southwest Nu Stop Philadelphia, Inc. - North",1609 Poplar Street,Philadelphia,215-787-9600,42,101,51,51,"{'latitude': '39.970657', 'longitude': '-75.163216', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19130""}'}",1069,365,194,46,13
769,DDAP-Licensed Treatment Facility,Lourdesmont Behavioral Health Services,1327 Wyoming Avenue,Lackawanna,570-702-8360,42,069,35,35,"{'latitude': '41.4225', 'longitude': '-75.64982', 'human_address': '{""address"": """", ""city"": ""Scranton"", ""state"": ""Pennsylvania"", ""zip"": ""18509""}'}",1912,420,101,34,22
770,DDAP-Licensed Treatment Facility,Pennsylvania Counseling and Psychiatric Services,4918 Locust Lane,Dauphin,717-671-9610,42,043,22,22,"{'latitude': '40.293265', 'longitude': '-76.807122', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17109""}'}",1946,25,68,23,18
771,DDAP-Licensed Treatment Facility,Brighter Visions Counseling,22 Industrial Circle B,Juniata,717-320-2303,42,067,34,34,"{'latitude': '40.578601', 'longitude': '-77.366977', 'human_address': '{""address"": """", ""city"": ""Mifflintown"", ""state"": ""Pennsylvania"", ""zip"": ""17059""}'}",50,201,36,18,21
772,DDAP-Licensed Treatment Facility,Pa Treatment and Healing,1855 Fair Avenue,Wayne,570-253-3980,42,127,64,64,"{'latitude': '41.59052', 'longitude': '-75.2623179', 'human_address': '{""address"": """", ""city"": ""Honesdale"", ""state"": ""Pennsylvania"", ""zip"": ""18431""}'}",745,433,89,29,53
773,DDAP-Licensed Treatment Facility,Pyramid Healthcare Chambersburg,455 Phoenix Drive,Franklin,717-261-9100,42,055,28,28,"{'latitude': '39.9347873', 'longitude': '-77.6363931', 'human_address': '{""address"": """", ""city"": ""Chambersburg"", ""state"": ""Pennsylvania"", ""zip"": ""17201""}'}",712,19,34,19,33
774,DDAP-Licensed Treatment Facility,Greenbriar Robinson Township,"4955 Steubenville Pike, Twin Towers, Suite 365",Allegheny,412-788-6292,42,003,2,02,"{'latitude': '40.4490629', 'longitude': '-80.1090508', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15205""}'}",2468,332,17,7,40
775,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.",501 Bath Road,Bucks,267-405-6530,42,017,9,09,"{'latitude': '40.097168', 'longitude': '-74.860472', 'human_address': '{""address"": """", ""city"": ""Bristol"", ""state"": ""Pennsylvania"", ""zip"": ""19007""}'}",501,126,169,50,35
776,DDAP-Licensed Treatment Facility,"Adelphoi Village, Inc. Monastery Run",1108 Village Way,Westmoreland,724-804-7001,42,129,65,65,"{'latitude': '40.305497', 'longitude': '-79.392936', 'human_address': '{""address"": """", ""city"": ""Latrobe"", ""state"": ""Pennsylvania"", ""zip"": ""15650""}'}",2447,209,80,13,24
777,Center of Excellence,Clearfield-Jefferson Drug and Alcohol Comission,135 Midway Drive,Clearfield,814-371-9002,42,033,17,17,"{'latitude': '41.124871', 'longitude': '-78.733404', 'human_address': '{""address"": """", ""city"": ""DuBois"", ""state"": ""Pennsylvania"", ""zip"": ""15801""}'}",297,188,15,14,8
778,PacMAT,"UPMC Insurance Division, Blair County Drug and Alcohol Programs",3001 Fairway Drive,Blair,814-381-0921,42,013,7,07,"{'latitude': '40.48423', 'longitude': '-78.394044', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16602""}'}",52,101,29,17,46
779,DDAP-Licensed Treatment Facility,Gateway Pleasant Hills,"500 Lewis Run Road, Suite 121",Allegheny,412-466-7734,42,003,2,02,"{'latitude': '40.3294576', 'longitude': '-79.9404425', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15122""}'}",62,482,94,7,40
780,DDAP-Licensed Treatment Facility,New Outlook Academy,900 Agnew Road,Allegheny,412-885-5200,42,003,2,02,"{'latitude': '40.399376', 'longitude': '-79.967995', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15227""}'}",2109,117,103,8,40
781,DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC","17 Mckean Avenue, Suite 3",Washington,412-246-8965,42,125,63,63,"{'latitude': '40.133921', 'longitude': '-79.892942', 'human_address': '{""address"": """", ""city"": ""Charleroi"", ""state"": ""Pennsylvania"", ""zip"": ""15022""}'}",1927,79,5,12,52
782,DDAP-Licensed Treatment Facility,Deerfield Center for Addictions Treatment,111 Bridge Street,Forest,888-893-3228,42,053,27,27,"{'latitude': '41.4939521', 'longitude': '-79.4591881', 'human_address': '{""address"": """", ""city"": ""Tionesta"", ""state"": ""Pennsylvania"", ""zip"": ""16353""}'}",1498,186,60,5,32
783,DDAP-Licensed Treatment Facility,SPHS Behavioral Health,2 Eastgate Avenue,Westmoreland,724-684-6489,42,129,65,65,"{'latitude': '40.16096', 'longitude': '-79.88159', 'human_address': '{""address"": """", ""city"": ""Monessen"", ""state"": ""Pennsylvania"", ""zip"": ""15062""}'}",1074,327,86,1,24
784,DDAP-Licensed Treatment Facility,Str Addiction Counseling LLC,1400 Veterans Highway,Bucks,888-755-7227,42,017,9,09,"{'latitude': '40.1112721', 'longitude': '-74.8789056', 'human_address': '{""address"": """", ""city"": ""Levittown"", ""state"": ""Pennsylvania"", ""zip"": ""19056""}'}",2334,147,167,50,35
785,DDAP-Licensed Treatment Facility,"Penn Foundation, Inc.","807 Lawn Avenue, PO Box 32",Bucks,267-517-0020,42,017,9,09,"{'latitude': '40.3643167', 'longitude': '-75.3253196', 'human_address': '{""address"": """", ""city"": ""Sellersville"", ""state"": ""Pennsylvania"", ""zip"": ""18960""}'}",1312,345,128,40,35
786,DDAP-Licensed Treatment Facility,Cove Forge Behavioral System at Pittsburgh,"2500 Jane Street, Second Floor",Allegheny,412-431-3363,42,003,2,02,"{'latitude': '40.4406248', 'longitude': '-79.9958864', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15203""}'}",2158,324,164,6,40
787,DDAP-Licensed Treatment Facility,"Mainstream Counseling, Inc.",900 Washington Street,Huntingdon,814-643-1114,42,061,31,31,"{'latitude': '40.48856', 'longitude': '-78.01725', 'human_address': '{""address"": """", ""city"": ""Huntingdon"", ""state"": ""Pennsylvania"", ""zip"": ""16652""}'}",502,264,32,18,38
788,DDAP-Licensed Treatment Facility,"Twin Lakes Center, Inc.",213 Dale Street,Somerset,814-443-3639,42,111,56,56,"{'latitude': '39.81515', 'longitude': '-79.027023', 'human_address': '{""address"": """", ""city"": ""Meyersdale"", ""state"": ""Pennsylvania"", ""zip"": ""15552""}'}",1553,252,7,1,66
789,DDAP-Licensed Treatment Facility,"Colonial House, Inc.",924 West Market Street,York,717-792-9702,42,133,67,67,"{'latitude': '39.955665', 'longitude': '-76.748574', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17401""}'}",1155,495,135,24,12
790,DDAP-Licensed Treatment Facility,"Wyoming Valley Alcohol and Drug Services, Inc.",120 East Third Street,Columbia,570-354-0081,42,037,19,19,"{'latitude': '41.056041', 'longitude': '-76.233463', 'human_address': '{""address"": """", ""city"": ""Berwick"", ""state"": ""Pennsylvania"", ""zip"": ""18603""}'}",1697,120,90,22,10
791,DDAP-Licensed Treatment Facility,Clarity Way,544 Iron Ridge Road,York,877-251-6604,42,133,67,67,"{'latitude': '39.854647', 'longitude': '-76.917844', 'human_address': '{""address"": """", ""city"": ""Hanover"", ""state"": ""Pennsylvania"", ""zip"": ""17331""}'}",1006,242,120,24,12
792,DDAP-Licensed Treatment Facility,Glenbeigh Center of Erie,4906 Richmond Street,Erie,814-864-4226,42,049,25,25,"{'latitude': '42.0815139', 'longitude': '-80.0921288', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16509""}'}",2347,309,49,4,30
793,DDAP-Licensed Treatment Facility,Hope's Therapeutic Services Llc,501-505 Old York Road Suite 100A,Montgomery,215-885-1867,42,091,46,46,"{'latitude': '40.09888', 'longitude': '-75.125824', 'human_address': '{""address"": """", ""city"": ""Jenkintown"", ""state"": ""Pennsylvania"", ""zip"": ""19046""}'}",2453,215,203,45,57
794,DDAP-Licensed Treatment Facility,Philadelphia Teen Challenge For Men,156 West Schoolhouse Lane,Philadelphia,215-849-2054,42,101,51,51,"{'latitude': '40.0310634', 'longitude': '-75.1755771', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,46,13
795,DDAP-Licensed Treatment Facility,"Alcohol and Drug Abuse Services, Inc.","2 Main Street, Seneca Building, Suite 600",McKean,814-362-6517,42,083,42,42,"{'latitude': '41.9564953', 'longitude': '-78.649163', 'human_address': '{""address"": """", ""city"": ""Bradford"", ""state"": ""Pennsylvania"", ""zip"": ""16701""}'}",999,138,14,14,47
796,DDAP-Licensed Treatment Facility,Genesis House - Harrisburg,2901 North Sixth Street,Dauphin,717-232-6981,42,043,22,22,"{'latitude': '40.291842', 'longitude': '-76.894809', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17102""}'}",1625,182,42,23,18
797,DDAP-Licensed Treatment Facility,"Axiom Family Counseling Services, Inc.",100 West High Street,Cambria,814-846-5971,42,021,11,11,"{'latitude': '40.485172', 'longitude': '-78.725017', 'human_address': '{""address"": """", ""city"": ""Ebensburg"", ""state"": ""Pennsylvania"", ""zip"": ""15931""}'}",1228,23,20,16,2
798,Center of Excellence,Center for Integrative Medicine (AIDS Care Group),2304 Edgmont Avenue,Delaware,610-583-3800,42,045,23,23,"{'latitude': '39.864297', 'longitude': '-75.370515', 'human_address': '{""address"": """", ""city"": ""Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19013""}'}",2467,160,65,35,28
799,DDAP-Licensed Treatment Facility,"Recovery Concepts Addiction Counseling Services, Inc","233 East Pitt Street, Suite 1",Bedford,814-623-7370,42,009,5,05,"{'latitude': '40.0191529', 'longitude': '-78.5011749', 'human_address': '{""address"": """", ""city"": ""Bedford"", ""state"": ""Pennsylvania"", ""zip"": ""15522""}'}",22,3,31,16,43
800,DDAP-Licensed Treatment Facility,Chester County Intermediate Unit - Changes,"540 East Union Street, Suite D",Chester,484-905-5144,42,029,15,15,"{'latitude': '39.960037', 'longitude': '-75.594372', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19380""}'}",905,480,148,32,6
801,DDAP-Licensed Treatment Facility,"Curo Aeger Recovery Education, Inc.","1242 West Chester Pike, Suite 200",Chester,484-266-0084,42,029,15,15,"{'latitude': '39.969235', 'longitude': '-75.5593279', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19382""}'}",1061,480,147,35,6
802,Center of Excellence,Magee-Womens Hospital of UPMC,300 Halket Street,Allegheny,412-641-1211,42,003,2,02,"{'latitude': '40.437049', 'longitude': '-79.960709', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15213""}'}",2158,324,106,11,40
803,Center of Excellence,Hamilton Health Center,110 S 17th Street,Dauphin,717-232-9971 ext 3731,42,043,22,22,"{'latitude': '40.265723', 'longitude': '-76.864853', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17104""}'}",1625,182,42,23,18
804,DDAP-Licensed Treatment Facility,Reading Hospital,"Kutztown University Boehm Science Hall, Main Street",Berks,484-628-8070,42,011,6,06,"{'latitude': '40.5173165', 'longitude': '-75.7774177', 'human_address': '{""address"": """", ""city"": ""Kutztown"", ""state"": ""Pennsylvania"", ""zip"": ""19530""}'}",607,177,111,31,45
805,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.",480 Hafer Road,Union,717-439-2391,42,119,60,60,"{'latitude': '40.990132', 'longitude': '-76.887061', 'human_address': '{""address"": """", ""city"": ""Lewisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17837""}'}",726,154,72,21,49
806,DDAP-Licensed Treatment Facility,Gratitude House,901 Sixth Avenue,Blair,814-944-3210,42,013,7,07,"{'latitude': '40.514824', 'longitude': '-78.393611', 'human_address': '{""address"": """", ""city"": ""Altoona"", ""state"": ""Pennsylvania"", ""zip"": ""16602""}'}",52,101,29,17,46
807,DDAP-Licensed Treatment Facility,Mirmont Treatment Center,100 Yearsley Mill Road,Delaware,484-227-1400,42,045,23,23,"{'latitude': '39.9270216', 'longitude': '-75.4448305', 'human_address': '{""address"": """", ""city"": ""Lima"", ""state"": ""Pennsylvania"", ""zip"": ""19063""}'}",782,380,63,35,28
808,DDAP-Licensed Treatment Facility,"Hispanic American Organization, Inc.",462 West Walnut Street,Lehigh,610-435-5334,42,077,39,39,"{'latitude': '40.601778', 'longitude': '-75.4668', 'human_address': '{""address"": """", ""city"": ""Allentown"", ""state"": ""Pennsylvania"", ""zip"": ""18102""}'}",455,99,162,36,26
809,Center of Excellence,"Crossroads Counseling, Inc.",8 North Grove Street (Suite 4),Clinton,570-323-7535,42,035,18,18,"{'latitude': '41.134116', 'longitude': '-77.443585', 'human_address': '{""address"": """", ""city"": ""Lock Haven"", ""state"": ""Pennsylvania"", ""zip"": ""17745""}'}",1084,206,74,14,9
810,DDAP-Licensed Treatment Facility,"Catholic Charities Counseling and Adoption Services, Inc.",329 West 10 Street,Erie,814-456-2091,42,049,25,25,"{'latitude': '42.1103844', 'longitude': '-80.0953942', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16502""}'}",2182,61,50,4,30
811,DDAP-Licensed Treatment Facility,Wesley Spectrum Services,221 Penn Avenue,Allegheny,412-342-2370,42,003,2,02,"{'latitude': '40.4461863', 'longitude': '-79.8922428', 'human_address': '{""address"": """", ""city"": ""Wilkinsburg"", ""state"": ""Pennsylvania"", ""zip"": ""15221""}'}",2379,437,104,11,40
812,DDAP-Licensed Treatment Facility,Family Service And Children's Aid Society Of Venango County,358 North Seneca Street,Venango,814-432-3466,42,121,61,61,"{'latitude': '41.439148', 'longitude': '-79.709249', 'human_address': '{""address"": """", ""city"": ""Oil City"", ""state"": ""Pennsylvania"", ""zip"": ""16301""}'}",1873,356,45,5,50
813,Center of Excellence,Butler Memorial Hospital - Inpatient/Outpatient needs ,1 Hospital Way,Butler,724-284-4355 (Inpatient needs); 724-284-4759 (Outpatient needs),42,019,10,10,"{'latitude': '40.867606', 'longitude': '-79.880425', 'human_address': '{""address"": """", ""city"": ""Butler"", ""state"": ""Pennsylvania"", ""zip"": ""16001""}'}",1388,100,10,5,1
814,Center of Excellence,The Wright Center for Primary Care Mid Valley,5 South Washington Avenue,Lackawanna,570-230-0019,42,069,35,35,"{'latitude': '41.51599', 'longitude': '-75.54814', 'human_address': '{""address"": """", ""city"": ""Jermyn"", ""state"": ""Pennsylvania"", ""zip"": ""18433""}'}",1318,168,125,34,22
815,DDAP-Licensed Treatment Facility,"Rehab Management, Inc. D/B/A Rehab After Work","1725 Oregon Pike, Suite 205 B",Lancaster,800-238-4357,42,071,36,36,"{'latitude': '40.0722367', 'longitude': '-76.2990331', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17601""}'}",198,219,132,25,23
816,DDAP-Licensed Treatment Facility,Treatment and Recovery Partnership,719 East Chelter Avenue,Philadelphia,215-403-7912,42,101,51,51,"{'latitude': '40.00671', 'longitude': '-75.16349', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,46,13
