,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
738,Brockway Police Department,501 Main Street,Brockway,PA,15824,Jefferson,"{'latitude': '41.249048', 'longitude': '-78.79854', 'human_address': '{""address"": ""501 Main Street"", ""city"": ""Brockway"", ""state"": ""PA"", ""zip"": ""15824""}'}","{'type': 'Point', 'coordinates': [-78.798666, 41.248726]}",41.248726,-78.798666,Yes,Active,14,20,3,286,149,16,814-265-2055,,Operational,
739,Perkasie Borough Police,311 S. 9th Street,Perkasie,PA,18944,Bucks,"{'latitude': '40.373418', 'longitude': '-75.301334', 'human_address': '{""address"": ""311 S. 9th Street"", ""city"": ""Perkasie"", ""state"": ""PA"", ""zip"": ""18944""}'}","{'type': 'Point', 'coordinates': [-75.3018488, 40.3728202]}",40.3728202,-75.3018488,No,Active,40,35,4,1364,345,128,(215)257-6876,M-F 8:30-4:30,Operational,
740,Elizabeth Township Police Dept.,522 Rock Run Road,Elizabeth,PA,15037,Allegheny,"{'latitude': '40.272263', 'longitude': '-79.822677', 'human_address': '{""address"": ""522 Rock Run Road"", ""city"": ""Elizabeth"", ""state"": ""PA"", ""zip"": ""15037""}'}","{'type': 'Point', 'coordinates': [-79.823336, 40.271197]}",40.271197,-79.823336,Yes,Active,8,40,10,933,32,85,(412)751-7325,,,Chief David Kerestes
741,Centre County Sheriff's Office,213 East High Street,Bellefonte,PA,16823,Centre,"{'latitude': '40.912743', 'longitude': '-77.775559', 'human_address': '{""address"": ""213 East High Street"", ""city"": ""Bellefonte"", ""state"": ""PA"", ""zip"": ""16823""}'}","{'type': 'Point', 'coordinates': [-77.776316, 40.91261]}",40.91261,-77.776316,Yes,Active,18,5,3,1899,1,71,(814)355-6803,,,Sheriff Bryan Sampsel
742,Borough of Oxford Police Dept.,57 North Fourth Street,Oxford,PA,19363,Chester,"{'latitude': '39.786779', 'longitude': '-75.977253', 'human_address': '{""address"": ""57 North Fourth Street"", ""city"": ""Oxford"", ""state"": ""PA"", ""zip"": ""19363""}'}","{'type': 'Point', 'coordinates': [-75.977305, 39.7861884]}",39.7861884,-75.977305,Yes,Active,32,6,14,701,273,146,(610)998-0032,M-F 8am-4:30pm.,Operational,Chief John F. Slauch
743,JAMESTOWN PHARMACY,121 LIBERTY STREET,JAMESTOWN,PA,16134,Mercer,"{'latitude': '41.484607', 'longitude': '-80.440662', 'human_address': '{""address"": ""121 LIBERTY STREET"", ""city"": ""JAMESTOWN"", ""state"": ""PA"", ""zip"": ""16134""}'}","{'type': 'Point', 'coordinates': [-80.440657, 41.484336]}",41.484336,-80.440657,No,Active,3,54,11,2462,250,48,,,Pharmacy,
744,"CVS PHARMACY, L.L.C. # 00675 (GLENOLDEN)",159 N. MACDADE BLVD.,GLENOLDEN,PA,19036,Delaware,"{'latitude': '39.907425', 'longitude': '-75.286931', 'human_address': '{""address"": ""159 N. MACDADE BLVD."", ""city"": ""GLENOLDEN"", ""state"": ""PA"", ""zip"": ""19036""}'}","{'type': 'Point', 'coordinates': [-75.286778, 39.907003]}",39.907003,-75.286778,No,Active,39,28,18,2547,271,67,,,Pharmacy,
745,"CVS PHARMACY, L.L.C. # 01917 (PAXTON SQUARE/HARRISBURG)",6007 ALLENTOWN BLVD.,HARRISBURG,PA,17112,Dauphin,"{'latitude': '40.322204', 'longitude': '-76.789047', 'human_address': '{""address"": ""6007 ALLENTOWN BLVD."", ""city"": ""HARRISBURG"", ""state"": ""PA"", ""zip"": ""17112""}'}","{'type': 'Point', 'coordinates': [-76.786811, 40.320605]}",40.320605,-76.786811,No,Active,23,18,16,1946,25,68,,,Pharmacy,
746,Lower Providence Police Department,100 Parklane Dr.,Eagleville,PA,19403-1100,Montgomery,"{'latitude': '40.162339', 'longitude': '-75.407806', 'human_address': '{""address"": ""100 Parklane Dr."", ""city"": ""Eagleville"", ""state"": ""PA"", ""zip"": ""19403-1100""}'}","{'type': 'Point', 'coordinates': [-75.40765, 40.1640593]}",40.1640593,-75.40765,Yes,Active,33,57,8,1433,249,61,(610)539-5901,M-F 7am-8pm,Operational,Det. Sgt. Terrence Kennedy
747,Newberry Township Police Department,1905 Old Trail Rd,Etters,PA,17319,York,"{'latitude': '40.135061', 'longitude': '-76.805134', 'human_address': '{""address"": ""1905 Old Trail Rd"", ""city"": ""Etters"", ""state"": ""PA"", ""zip"": ""17319""}'}","{'type': 'Point', 'coordinates': [-76.798353, 40.150726]}",40.150726,-76.798353,Yes,Active,28,12,16,665,486,70,7179382608,8:00am – 4:30pm Mon-Fri,,
748,CVS #305,1833 EAST HIGH STREET,POTTSTOWN,PA,19464,"MONTGOMERY,PA","{'latitude': '40.244009', 'longitude': '-75.608531', 'human_address': '{""address"": ""1833 EAST HIGH STREET"", ""city"": ""POTTSTOWN"", ""state"": ""PA"", ""zip"": ""19464""}'}","{'type': 'Point', 'coordinates': [-75.60876, 40.24447]}",40.24447,-75.60876,No,Active,33,57,8,1221,302,57,6103272020,Follows Pharmacy Hours of Operation,Pharmacy,
749,St. Luke's Hospital - Quakertown Campus Main Lobby,1021 Park Ave,Quakertown,PA,18951,Bucks,"{'latitude': '40.4378', 'longitude': '-75.348841', 'human_address': '{""address"": ""1021 Park Ave"", ""city"": ""Quakertown"", ""state"": ""PA"", ""zip"": ""18951""}'}","{'type': 'Point', 'coordinates': [-75.3488628, 40.438722]}",40.438722,-75.3488628,No,Active,37,35,4,1528,383,128,,,active,
750,Montgomery Township Police Dept.,1001 Stump Hall Road,Montgomeryville,PA,18936,Montgomery,,"{'type': 'Point', 'coordinates': [-75.223111, 40.231476]}",40.231476,-75.223111,Yes,Active,,,4,,,,(215)362-2301,,Unknown,Ofcr. Robert Johnson
751,Township of Hampton Police Dept.,3101 McCully Road,Allison Park,PA,15101,Allegheny,"{'latitude': '40.581462', 'longitude': '-79.935315', 'human_address': '{""address"": ""3101 McCully Road"", ""city"": ""Allison Park"", ""state"": ""PA"", ""zip"": ""15101""}'}","{'type': 'Point', 'coordinates': [-79.933736, 40.585596]}",40.585596,-79.933736,Yes,Active,9,40,17,2326,224,159,(412)486-0400,,,Chief Thomas Vulakovich
752,East Bethlehem Police Dept.,36 Water Street,Fredericktown,PA,15333,Washington,"{'latitude': '39.999979', 'longitude': '-79.996819', 'human_address': '{""address"": ""36 Water Street"", ""city"": ""Fredericktown"", ""state"": ""PA"", ""zip"": ""15333""}'}","{'type': 'Point', 'coordinates': [-79.9967387, 39.9996629]}",39.9996629,-79.9967387,Yes,Active,12,52,9,2328,122,1,(724)377-1851,,Operational,Chief Mark Pompe
753,Jenkintown Police Dept.,700 Summit Avenue,Jenkintown,PA,19046,Montgomery,"{'latitude': '40.094301', 'longitude': '-75.126431', 'human_address': '{""address"": ""700 Summit Avenue"", ""city"": ""Jenkintown"", ""state"": ""PA"", ""zip"": ""19046""}'}","{'type': 'Point', 'coordinates': [-75.12662, 40.09409]}",40.09409,-75.12662,Yes,Active,45,57,8,2453,215,203,(215)884-1202,unknown,ordered 4-26-16,Chief Albert DiValentino
754,Weis Market (Sunbury),135-147 Market St,Sunbury,PA,17801,Northumberland,"{'latitude': '40.8625', 'longitude': '-76.7954', 'human_address': '{""address"": ""135-147 Market St"", ""city"": ""Sunbury"", ""state"": ""PA"", ""zip"": ""17801""}'}","{'type': 'Point', 'coordinates': [-76.79533, 40.8624007]}",40.8624007,-76.79533,No,Active,22,60,2,1829,375,73,570) 286-4121,7:00am - 9:00pm; Mon - Fri,active,
755,State Police-Troop D / Beaver,1400 Brighton Rd.,Beaver,PA,15009,Beaver,"{'latitude': '40.711036', 'longitude': '-80.367093', 'human_address': '{""address"": ""1400 Brighton Rd."", ""city"": ""Beaver"", ""state"": ""PA"", ""zip"": ""15009""}'}","{'type': 'Point', 'coordinates': [-80.36655, 40.711432]}",40.711432,-80.36655,No,Active,2,42,17,379,2,23,,,,
756,Hatfield Township Police Department,2000 School Road,Hatfield,PA,19440,Montgomery,"{'latitude': '40.285487', 'longitude': '-75.285979', 'human_address': '{""address"": ""2000 School Road"", ""city"": ""Hatfield"", ""state"": ""PA"", ""zip"": ""19440""}'}","{'type': 'Point', 'coordinates': [-75.2863939, 40.2852279]}",40.2852279,-75.2863939,No,Active,42,57,4,526,313,200,(215)855-0903,M-F 8-12/ 1-4,Operational,Chief Mark Toomey
757,Patton Borough Police Department,800 4th Avenue,Patton,PA,16668,Cambria,"{'latitude': '40.63417', 'longitude': '-78.647724', 'human_address': '{""address"": ""800 4th Avenue"", ""city"": ""Patton"", ""state"": ""PA"", ""zip"": ""16668""}'}","{'type': 'Point', 'coordinates': [-78.647453, 40.63417]}",40.63417,-78.647453,No,Active,16,2,3,697,116,20,,,,
758,Norwood Borough Police,10 W. Cleveland Ave,Norwood,PA,19074,Delaware,"{'latitude': '39.892317', 'longitude': '-75.297635', 'human_address': '{""address"": ""10 W. Cleveland Ave"", ""city"": ""Norwood"", ""state"": ""PA"", ""zip"": ""19074""}'}","{'type': 'Point', 'coordinates': [-75.297593, 39.891832]}",39.891832,-75.297593,No,Active,44,28,18,2000,271,67,,,,
759,Bushkill Township Police Dept.,1114 Bushkill Center Road,Nazareth,PA,18064,Northampton,"{'latitude': '40.798757', 'longitude': '-75.332451', 'human_address': '{""address"": ""1114 Bushkill Center Road"", ""city"": ""Nazareth"", ""state"": ""PA"", ""zip"": ""18064""}'}","{'type': 'Point', 'coordinates': [-75.332382, 40.799046]}",40.799046,-75.332382,Yes,Active,38,59,12,1819,280,114,(610)759-9589,,Operationall,Chief Michael McClouth
760,State Police-Troop K / Philadelphia,2201 Belmont Ave.,Philadelphia,PA,19131,Philadelphia,"{'latitude': '39.996915', 'longitude': '-75.218737', 'human_address': '{""address"": ""2201 Belmont Ave."", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19131""}'}","{'type': 'Point', 'coordinates': [-75.218095, 39.997494]}",39.997494,-75.218095,No,Active,43,13,6,1069,365,188,,,,
761,CVS #4029,1181 FREEDOM RD.,CRANBERRY TOWNSHIP,PA,16066,"BUTLER,PA","{'latitude': '40.682052', 'longitude': '-80.124367', 'human_address': '{""address"": ""1181 FREEDOM RD."", ""city"": ""CRANBERRY TOWNSHIP"", ""state"": ""PA"", ""zip"": ""16066""}'}","{'type': 'Point', 'coordinates': [-80.124452, 40.682647]}",40.682647,-80.124452,No,Active,5,1,17,254,426,9,7247421888,Follows Pharmacy Hours of Operation,Pharmacy,
762,Vintondale Police Department,351 Main Street,Vintondale,PA,15961,Cambria,"{'latitude': '40.47895', 'longitude': '-78.91368', 'human_address': '{""address"": ""351 Main Street"", ""city"": ""Vintondale"", ""state"": ""PA"", ""zip"": ""15961""}'}","{'type': 'Point', 'coordinates': [-78.916412, 40.480361]}",40.480361,-78.916412,No,Active,16,2,3,1003,131,19,,,,
763,Eddystone Police,1300 E. 12th St.,Eddystone,PA,19022,Delaware,"{'latitude': '39.86257', 'longitude': '-75.344516', 'human_address': '{""address"": ""1300 E. 12th St."", ""city"": ""Eddystone"", ""state"": ""PA"", ""zip"": ""19022""}'}","{'type': 'Point', 'coordinates': [-75.344622, 39.862887]}",39.862887,-75.344622,No,Active,35,28,18,1711,408,65,,,,
764,Clifton Heights Borough Police Department,30 S. Springfield Road,Clifton Heights,PA,19018,Delaware,"{'latitude': '39.928784', 'longitude': '-75.296201', 'human_address': '{""address"": ""30 S. Springfield Road"", ""city"": ""Clifton Heights"", ""state"": ""PA"", ""zip"": ""19018""}'}","{'type': 'Point', 'coordinates': [-75.2963353, 39.9284929]}",39.9284929,-75.2963353,No,Active,39,28,18,2218,402,198,,Please contact location,Operational,
765,Fairview Township Police Department,"145 Limekiln Road, Suite 600",New Cumberland,PA,17070,York,"{'latitude': '40.214888', 'longitude': '-76.874003', 'human_address': '{""address"": ""145 Limekiln Road, Suite 600"", ""city"": ""New Cumberland"", ""state"": ""PA"", ""zip"": ""17070""}'}","{'type': 'Point', 'coordinates': [-76.874321, 40.214518]}",40.214518,-76.874321,No,Active,20,12,16,2536,486,70,(717)901-5267,Open Monday through Friday from 8AM to 4:30PM.,Operational,
766,Saxonburg Borough Police Dept.,420 West Main Street,Saxonburg,PA,16056,Butler,"{'latitude': '40.750637', 'longitude': '-79.817362', 'human_address': '{""address"": ""420 West Main Street"", ""city"": ""Saxonburg"", ""state"": ""PA"", ""zip"": ""16056""}'}","{'type': 'Point', 'coordinates': [-79.817327, 40.751287]}",40.751287,-79.817327,Yes,Active,15,1,11,230,389,10,(724)352-6255,M-S 8-4,Operational,Chief Joseph Beachem
767,Telford Borough Police Dept.,100 Penn Avenue,Telford,PA,18969,Montgomery,"{'latitude': '40.324981', 'longitude': '-75.328967', 'human_address': '{""address"": ""100 Penn Avenue"", ""city"": ""Telford"", ""state"": ""PA"", ""zip"": ""18969""}'}","{'type': 'Point', 'coordinates': [-75.32879, 40.324877]}",40.324877,-75.32879,Yes,Active,42,57,4,2297,429,200,(215)723-6700,M-F 8-4,Operational,Chief Randall Floyd
768,Marple Township Police Department,1001 Sussex Blvd,Broomall,PA,19008,Delaware,"{'latitude': '39.958748', 'longitude': '-75.340373', 'human_address': '{""address"": ""1001 Sussex Blvd"", ""city"": ""Broomall"", ""state"": ""PA"", ""zip"": ""19008""}'}","{'type': 'Point', 'coordinates': [-75.3562885, 39.9621375]}",39.9621375,-75.3562885,No,Active,39,28,18,1674,236,62,(610)356-1500,24 hours a day/ 7 days a week,Operational,
769,Galeton Borough Police Dept.,4 Sherman Street,Galeton,PA,16922,Potter,"{'latitude': '41.73222', 'longitude': '-77.641144', 'human_address': '{""address"": ""4 Sherman Street"", ""city"": ""Galeton"", ""state"": ""PA"", ""zip"": ""16922""}'}","{'type': 'Point', 'coordinates': [-77.640771, 41.73231]}",41.73231,-77.640771,Yes,Active,14,63,2,1951,210,77,(814)435-2600,,,Chief Christopher Brackman
770,Lower Pottsgrove Township Police Department,2199 Buchert Road,Pottstown,PA,19464,Montgomery,"{'latitude': '40.254234', 'longitude': '-75.589216', 'human_address': '{""address"": ""2199 Buchert Road"", ""city"": ""Pottstown"", ""state"": ""PA"", ""zip"": ""19464""}'}","{'type': 'Point', 'coordinates': [-75.6064751, 40.2598808]}",40.2598808,-75.6064751,No,Active,33,57,8,1221,302,57,(610)326-1508,M-F 8 am-7 pm or call after hours,Operational,Chief Michael Shade
771,Weis Markets - Duryea,70 Phoenix St.,Duryea,PA,18642,Luzerne,"{'latitude': '41.347601', 'longitude': '-75.773352', 'human_address': '{""address"": ""70 Phoenix St."", ""city"": ""Duryea"", ""state"": ""PA"", ""zip"": ""18642""}'}","{'type': 'Point', 'coordinates': [-75.769233, 41.347977]}",41.347977,-75.769233,No,Active,34,14,7,2494,323,102,570-451-6390,Monday – Friday: 9 a.m. – 9 p.m./Saturday: 9 a.m. – 6 p.m./Sunday: 10 a.m. – 2 p.m.,Pharmacy,
772,Lehigh Valley Health Network (c/o Bethlehem Police Dept.),"2545 Schoenersville Rd., 4th Flr South",Bethlehem,PA,18017,Lehigh,,"{'type': 'Point', 'coordinates': [-75.408826, 40.644564]}",40.644564,-75.408826,Yes,Active,,,12,,,,484-884-8225,,Operational,Craig Finnerty
773,Bethlehem Township Police Department (Municipal Building - Lobby Area),4225 Easton Avenue,Bethlehem,PA,18020,Northampton,"{'latitude': '40.665736', 'longitude': '-75.313842', 'human_address': '{""address"": ""4225 Easton Avenue"", ""city"": ""Bethlehem"", ""state"": ""PA"", ""zip"": ""18020""}'}","{'type': 'Point', 'coordinates': [-75.31416, 40.666192]}",40.666192,-75.31416,No,Active,10,59,12,2076,121,114,610-814-6465,"Hours are M-F, 8 a.m to 4:30 p.m.",,Captain Gregory Gottschall
774,Crozer-Chester Medical Center,1 Medical Center Blvd,Upland,PA,19013,Delaware,"{'latitude': '39.855635', 'longitude': '-75.369731', 'human_address': '{""address"": ""1 Medical Center Blvd"", ""city"": ""Upland"", ""state"": ""PA"", ""zip"": ""19013""}'}","{'type': 'Point', 'coordinates': [-75.368191, 39.855763]}",39.855763,-75.368191,No,Active,35,28,18,2090,160,65,,,,
775,Weis Markets - Jersey Shore,1440 Allegheny St.,Jersey Shore,PA,17740,Lycoming,"{'latitude': '41.201182', 'longitude': '-77.276512', 'human_address': '{""address"": ""1440 Allegheny St."", ""city"": ""Jersey Shore"", ""state"": ""PA"", ""zip"": ""17740""}'}","{'type': 'Point', 'coordinates': [-77.276523, 41.201629]}",41.201629,-77.276523,No,Active,21,15,2,459,198,75,570-398-7757,M-F 8am-8pm / Sat. 8am-6pm / Sun. 9am-5pm,,Geisinger
776,Delmont Police Dept.,77 Greensburg Street,Delmont,PA,15626,Westmoreland,"{'latitude': '40.410584', 'longitude': '-79.572038', 'human_address': '{""address"": ""77 Greensburg Street"", ""city"": ""Delmont"", ""state"": ""PA"", ""zip"": ""15626""}'}","{'type': 'Point', 'coordinates': [-79.571722, 40.410407]}",40.410407,-79.571722,Yes,Active,13,24,9,1658,174,81,(724)468-8501,24 hours/7days a week.,Operational,Chief Timothy Klobucar
777,City of Williamsport Police Dept.,245 West 4th Street,Williamsport,PA,17701,Lycoming,"{'latitude': '41.240167', 'longitude': '-77.006296', 'human_address': '{""address"": ""245 West 4th Street"", ""city"": ""Williamsport"", ""state"": ""PA"", ""zip"": ""17701""}'}","{'type': 'Point', 'coordinates': [-77.005596, 41.240358]}",41.240358,-77.005596,Yes,Active,21,15,2,1903,441,76,(570)327-7548,M-F 8-4,Operational,Lt. Brett Williams
778,Berks County Coroner's Office,"1047 MacArthur Road, Suite 200",Reading,PA,19605,Berks,"{'latitude': '40.378683', 'longitude': '-75.97609', 'human_address': '{""address"": ""1047 MacArthur Road, Suite 200"", ""city"": ""Reading"", ""state"": ""PA"", ""zip"": ""19605""}'}","{'type': 'Point', 'coordinates': [-75.9749972, 40.3781919]}",40.3781919,-75.9749972,No,Active,31,45,1,1416,435,46,(610)478-3280,7 days a week 8 am – 5 pm,Operational,Dennis J. Hess -  Coroner
779,Borough of Dupont Police Dept.,600 Chestnut Street,Dupoint,PA,18641,Luzerne,"{'latitude': '41.319657', 'longitude': '-75.748603', 'human_address': '{""address"": ""600 Chestnut Street"", ""city"": ""Dupoint"", ""state"": ""PA"", ""zip"": ""18641""}'}","{'type': 'Point', 'coordinates': [-75.748196, 41.320972]}",41.320972,-75.748196,Yes,Active,34,14,7,2402,323,102,(570)655-6216,,,Chief Daniel Mimnaugh
780,Warren County Sheriff’s Department,407 Market St,Warren,PA,16365,Warren,"{'latitude': '41.848877', 'longitude': '-79.14643', 'human_address': '{""address"": ""407 Market St"", ""city"": ""Warren"", ""state"": ""PA"", ""zip"": ""16365""}'}","{'type': 'Point', 'coordinates': [-79.1468575, 41.848839]}",41.848839,-79.1468575,No,Active,5,51,3,2129,234,60,,,,
781,Lebanon City Police Dept.,400 South Eighth Street,Lebanon,PA,17042,Lebanon,"{'latitude': '40.332924', 'longitude': '-76.423729', 'human_address': '{""address"": ""400 South Eighth Street"", ""city"": ""Lebanon"", ""state"": ""PA"", ""zip"": ""17042""}'}","{'type': 'Point', 'coordinates': [-76.4232858, 40.3330339]}",40.3330339,-76.4232858,Yes,Active,28,25,1,203,310,151,(717)272-6611,M-F 7:30-4:30,Operational,Chief Daniel Wright
782,West Goshen Twp. Police Dept.,1025 Paoli Pike,West Chester,PA,19380,Chester,"{'latitude': '39.972361', 'longitude': '-75.581241', 'human_address': '{""address"": ""1025 Paoli Pike"", ""city"": ""West Chester"", ""state"": ""PA"", ""zip"": ""19380""}'}","{'type': 'Point', 'coordinates': [-75.582278, 39.973236]}",39.973236,-75.582278,Yes,Active,35,6,14,1061,480,147,(610)696-7400,M-F 7:00 am-10:30 pm,Operational,Sgt. Michael Carroll
783,CVS #1610,201 MUNCY CREEK BLVD.,MUNCY,PA,17756,"LYCOMING,PA","{'latitude': '41.211242', 'longitude': '-76.76139', 'human_address': '{""address"": ""201 MUNCY CREEK BLVD."", ""city"": ""MUNCY"", ""state"": ""PA"", ""zip"": ""17756""}'}","{'type': 'Point', 'coordinates': [-76.760855, 41.211505]}",41.211505,-76.760855,No,Active,21,15,2,684,279,75,5705468361,Follows Pharmacy Hours of Operation,Pharmacy,
784,CVS #1323,212 POTTSVILLE ST.,POTTSVILLE,PA,17901,"SCHUYLKILL,PA","{'latitude': '40.637371', 'longitude': '-76.184817', 'human_address': '{""address"": ""212 POTTSVILLE ST."", ""city"": ""POTTSVILLE"", ""state"": ""PA"", ""zip"": ""17901""}'}","{'type': 'Point', 'coordinates': [-76.182772, 40.637271]}",40.637271,-76.182772,No,Active,27,64,1,251,134,127,5703854201,Follows Pharmacy Hours of Operation,Pharmacy,
785,Avonmore Borough Police Dept.,619 Allegheny Avenue,Avonmore,PA,15618,Westmoreland,"{'latitude': '40.528578', 'longitude': '-79.461753', 'human_address': '{""address"": ""619 Allegheny Avenue"", ""city"": ""Avonmore"", ""state"": ""PA"", ""zip"": ""15618""}'}","{'type': 'Point', 'coordinates': [-79.462086, 40.528756]}",40.528756,-79.462086,Yes,Active,15,24,9,903,171,80,(724)697-4747,M-F 8:00 a.m.-4:00 p.m.,Operational,Chief James L. Shaffer
786,Logan Township Police Dept.,100 Chief Logan Circle,Altoona,PA,16602,Blair,"{'latitude': '40.542048', 'longitude': '-78.369772', 'human_address': '{""address"": ""100 Chief Logan Circle"", ""city"": ""Altoona"", ""state"": ""PA"", ""zip"": ""16602""}'}","{'type': 'Point', 'coordinates': [-78.338318, 40.590606]}",40.590606,-78.338318,Yes,Active,17,46,13,1909,101,29,(814)949-3364,,,Chief Timothy J. Mercer
787,Upper Saucon Twp. Police Dept.,5500 Camp Meeting Road,Center Valley,PA,18034,Lehigh,"{'latitude': '40.535323', 'longitude': '-75.403136', 'human_address': '{""address"": ""5500 Camp Meeting Road"", ""city"": ""Center Valley"", ""state"": ""PA"", ""zip"": ""18034""}'}","{'type': 'Point', 'coordinates': [-75.4039076, 40.5349842]}",40.5349842,-75.4039076,Yes,Active,36,26,12,73,473,139,(610)282-3064,"M-F 8am-Noon, 1pm-4pm.",Operational,Chief Robert Coyle
788,West Vincent Township Police Dept.,729 St. Matthews Road,Chester Springs,PA,19425,Chester,"{'latitude': '40.107254', 'longitude': '-75.66726', 'human_address': '{""address"": ""729 St. Matthews Road"", ""city"": ""Chester Springs"", ""state"": ""PA"", ""zip"": ""19425""}'}","{'type': 'Point', 'coordinates': [-75.668094, 40.106865]}",40.106865,-75.668094,Yes,Active,33,6,14,998,272,43,(610)458-3205,M-F 8:30 - 4:30,Operational,Chief Michael Swininger
789,East Brandywine Twp. Police Dept.,1212 Horseshoe Pike,Downingtown,PA,19335,Chester,"{'latitude': '40.034159', 'longitude': '-75.765798', 'human_address': '{""address"": ""1212 Horseshoe Pike"", ""city"": ""Downingtown"", ""state"": ""PA"", ""zip"": ""19335""}'}","{'type': 'Point', 'coordinates': [-75.7665957, 40.0346441]}",40.0346441,-75.7665957,Yes,Active,33,6,14,1721,69,43,(610)269-4300,M-F 9-5,Operational,Chief Mark D. Kocsi
790,West Shore Regional Police Dept.,510 Herman Avenue,Lemoyne,PA,17043,Cumberland,"{'latitude': '40.241908', 'longitude': '-76.89349', 'human_address': '{""address"": ""510 Herman Avenue"", ""city"": ""Lemoyne"", ""state"": ""PA"", ""zip"": ""17043""}'}","{'type': 'Point', 'coordinates': [-76.8939399, 40.2413503]}",40.2413503,-76.8939399,Yes,Active,20,17,16,1707,486,39,(717)737-8734,M-F 8:30am-3:30pm,Operational,Chief Michael L. Hope
791,Indiana Township Police Dept.,3710 Saxonburg Boulevard,Pittsburgh,PA,15238,Allegheny,"{'latitude': '40.57549', 'longitude': '-79.890466', 'human_address': '{""address"": ""3710 Saxonburg Boulevard"", ""city"": ""Pittsburgh"", ""state"": ""PA"", ""zip"": ""15238""}'}","{'type': 'Point', 'coordinates': [-79.888633, 40.57483]}",40.57483,-79.888633,Yes,Active,9,40,17,2503,172,79,(412)767-5333,,Operational,Chief Robert Wilson
792,Reynoldsville Police Department,460 Main Street,Reynoldsville,PA,15851,Jefferson,"{'latitude': '41.095788', 'longitude': '-78.888019', 'human_address': '{""address"": ""460 Main Street"", ""city"": ""Reynoldsville"", ""state"": ""PA"", ""zip"": ""15851""}'}","{'type': 'Point', 'coordinates': [-78.888084, 41.095911]}",41.095911,-78.888084,Yes,Active,14,20,3,6,188,16,814-653-2510,,Operational,
793,Stonycreek Township Police Department,1610 Bedford Street,Johnstown,PA,15902,Cambria,"{'latitude': '40.303305', 'longitude': '-78.889917', 'human_address': '{""address"": ""1610 Bedford Street"", ""city"": ""Johnstown"", ""state"": ""PA"", ""zip"": ""15902""}'}","{'type': 'Point', 'coordinates': [-78.890121, 40.303068]}",40.303068,-78.890121,No,Active,16,2,13,277,208,21,,,,
794,Pennsylvania Capitol Police-Capitol East Wing,Commonwealth & North Sts.,Harrisburg,PA,17101,Dauphin,"{'latitude': '40.265619', 'longitude': '-76.882357', 'human_address': '{""address"": ""Commonwealth & North Sts."", ""city"": ""Harrisburg"", ""state"": ""PA"", ""zip"": ""17101""}'}","{'type': 'Point', 'coordinates': [-76.8828214, 40.2662918]}",40.2662918,-76.8828214,Yes,Active,23,18,16,1625,182,42,(717)787-9013,M-F 7am-6pm,Operational,Supt. Joseph M. Jacob
795,Folcroft Borough Police,1555 E. Elmwood Ave.,Folcroft,PA,19032,Delaware,"{'latitude': '39.90008', 'longitude': '-75.278149', 'human_address': '{""address"": ""1555 E. Elmwood Ave."", ""city"": ""Folcroft"", ""state"": ""PA"", ""zip"": ""19032""}'}","{'type': 'Point', 'coordinates': [-75.27906, 39.899629]}",39.899629,-75.27906,No,Active,44,28,18,1631,469,67,,,,
796,CVS #3799,929 DEKALB PIKE,BLUE BELL,PA,19422,"MONTGOMERY,PA","{'latitude': '40.165691', 'longitude': '-75.291631', 'human_address': '{""address"": ""929 DEKALB PIKE"", ""city"": ""BLUE BELL"", ""state"": ""PA"", ""zip"": ""19422""}'}","{'type': 'Point', 'coordinates': [-75.292154, 40.166395]}",40.166395,-75.292154,No,Active,41,57,8,1276,487,153,6102922142,Follows Pharmacy Hours of Operation,Pharmacy,
797,Giant Eagle Pharmacy #0039,331 Washington Road,Washington,PA,15301,Washington,"{'latitude': '40.185646', 'longitude': '-80.225499', 'human_address': '{""address"": ""331 Washington Road"", ""city"": ""Washington"", ""state"": ""PA"", ""zip"": ""15301""}'}","{'type': 'Point', 'coordinates': [-80.22882, 40.186391]}",40.186391,-80.22882,No,Active,12,52,9,1132,351,4,(724) 228-2865,Pharmacy Hours,Pharmacy,
798,CareSite Pharmacy Pottsville,529 Terry Reiley Way,Pottsville,PA,17901,Schuylkill,"{'latitude': '40.690183', 'longitude': '-76.196516', 'human_address': '{""address"": ""529 Terry Reiley Way"", ""city"": ""Pottsville"", ""state"": ""PA"", ""zip"": ""17901""}'}","{'type': 'Point', 'coordinates': [-76.196984, 40.690462]}",40.690462,-76.196984,No,Active,27,64,1,1892,304,53,570-624-4120,Monday - Friday: 9 a.m. - 5:30 p.m.,Pharmacy,
799,"CVS PHARMACY, L.L.C. # 01282 (ARDMORE)",317 W. LANCASTER AVE.,ARDMORE,PA,19003,Montgomery,"{'latitude': '40.01089', 'longitude': '-75.297', 'human_address': '{""address"": ""317 W. LANCASTER AVE."", ""city"": ""ARDMORE"", ""state"": ""PA"", ""zip"": ""19003""}'}","{'type': 'Point', 'coordinates': [-75.296802, 40.01111]}",40.01111,-75.296802,No,Active,41,57,18,673,230,175,,,Pharmacy,
